country,model,r2
Ethiopia,Global_RF,0.6387714706399538
Ethiopia,Global_XGB,0.7200469799804047
Malawi,Global_RF,0.6174258174799312
Malawi,Global_XGB,0.6852308139474808
Mali,Global_RF,0.6909909425415119
Mali,Global_XGB,0.7656043032463632
Nigeria,Global_RF,0.6960135526770213
Nigeria,Global_XGB,0.7923888586812895
Tanzania,Global_RF,0.5557682293528406
Tanzania,Global_XGB,0.6207567545496722
Uganda,Global_RF,0.7995978158579056
Uganda,Global_XGB,0.852259636151564
Ethiopia,Country_RF,0.8600366426838747
Ethiopia,Country_XGB,0.9995123053412439
Malawi,Country_RF,0.8658668907171031
Malawi,Country_XGB,0.9980282393506186
Mali,Country_RF,0.8914182233081408
Mali,Country_XGB,0.9980452449022705
Nigeria,Country_RF,0.8584165889442495
Nigeria,Country_XGB,0.9999993658521465
Tanzania,Country_RF,0.8577711809843841
Tanzania,Country_XGB,0.9999997321307141
Uganda,Country_RF,0.8629178222554594
Uganda,Country_XGB,0.9999992687233934
Ethiopia,Country_RF,0.8600366426838747
Ethiopia,Country_XGB,0.9995123053412439
Malawi,Country_RF,0.8658668907171032
Malawi,Country_XGB,0.9980282393506186
Mali,Country_RF,0.8914182233081408
Mali,Country_XGB,0.9980452449022705
Nigeria,Country_RF,0.8584165889442497
Nigeria,Country_XGB,0.9999993658521465
Tanzania,Country_RF,0.8577711809843842
Tanzania,Country_XGB,0.9999997321307141
Uganda,Country_RF,0.8629178222554594
Uganda,Country_XGB,0.9999992687233934
Ethiopia,Country_RF,0.8600366426838747
Ethiopia,Country_XGB,0.9995123053412439
Malawi,Country_RF,0.8658668907171031
Malawi,Country_XGB,0.9980282393506186
Mali,Country_RF,0.8914182233081408
Mali,Country_XGB,0.9980452449022705
Nigeria,Country_RF,0.8584165889442497
Nigeria,Country_XGB,0.9999993658521465
Tanzania,Country_RF,0.8577711809843842
Tanzania,Country_XGB,0.9999997321307141
Uganda,Country_RF,0.8629178222554594
Uganda,Country_XGB,0.9999992687233934
