brand,title,medium,year,region,page_url
Apple,Come Rain or Come Shine,Film,,,https://www.adsoftheworld.com/campaigns/come-rain-or-come-shine
Apple,Shot on iPhone,OOH/Print/Film,2019,US,https://www.adsoftheworld.com/campaigns/shot-on-iphone
Apple,Your next computer is not a computer,Film/Digital,2021,US,https://www.adsoftheworld.com/campaigns/your-next-computer-is-not-a-computer
Apple,Mac goes to College,Film/Digital,2025,US,https://www.adsoftheworld.com/campaigns/mac-goes-to-college
Apple,Dear Apple,Film/Digital,2022,US,https://www.adsoftheworld.com/campaigns/dear-apple
Samsung,The Real Upgrade,Film/Digital,,,https://www.adsoftheworld.com/campaigns/the-real-upgrade
Samsung,No reflections,Print,2020,Germany,https://www.adsoftheworld.com/campaigns/no-reflections
Samsung,Experience the wonder with the Galaxy,Film/Digital,2021,Mongolia,https://www.adsoftheworld.com/campaigns/experience-the-wonder-with-the-galaxy
Samsung,Big News,Film/Digital,2023,Sweden,https://www.adsoftheworld.com/campaigns/big-news
Samsung,For life with you,Film/Digital,2025,Brazil,https://www.adsoftheworld.com/campaigns/for-the-life-with-you
Huawei,"World, Unfolded.",Film,2025,,https://www.adsoftheworld.com/campaigns/huawei-world-unfolded
Huawei,Giant Smart,Print/OOH,2025,AU/BR/FR,https://www.adsoftheworld.com/campaigns/huawei-giant-smart
Huawei,Welcome to the Huawei AppGallery,Digital/Film,2020,Israel,https://www.adsoftheworld.com/campaigns/welcome-to-the-huawei-appgallery
Huawei,The Unofficial Smartphone,Film/Digital,2018,Mexico,https://www.adsoftheworld.com/campaigns/the-unofficial-smartphone
Huawei,Inspiration In Bloom,OOH/Print,2025,BR/FR/UK,https://www.adsoftheworld.com/campaigns/huawei-inspiration-in-bloom
Yamaha,Reveal,Print/OOH,2014,Italy,https://www.adsoftheworld.com/campaigns/reveal
Yamaha,Off-ROAD MILKSHAKE,Activation/Film,2025,,https://www.adsoftheworld.com/campaigns/off-road-milkshake
Yamaha,Neurons,Print,2017,Italy,https://www.adsoftheworld.com/campaigns/neurons
Yamaha,Balls,Print,2016,Israel,https://www.adsoftheworld.com/campaigns/balls-74ffa437-ae4d-4cd2-b8e7-b8d6596db2e4
Yamaha,Paper City,Print,2011,Italy,https://www.adsoftheworld.com/campaigns/paper-city-31cdab6b-2bea-4394-be46-0dd3ffcba459
